model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02653207 0.02979298 0.03253317 0.03625185],[0.02200979 0.02244755 0.02509396 0.028362  ],[4.4140706 5.1081576 5.620521  6.2250695],[1.0985717 1.4540554 1.8511347 2.3067448],[8.317539 8.314333 8.310849 8.307738],[0.19018765 0.19482474 0.19989903 0.20529312],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07461448 0.1266274  0.18072611 0.25700736],[0.08073711 0.12938589 0.18160538 0.33861503],[ 9.272305 16.15051  25.806374 37.60822 ],[ 2.399859   5.7466264 11.729882  21.40022  ],[8.165005 8.130555 8.084625 8.035615],[0.56674993 0.6423681  0.7207576  0.80390835],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.39029157 0.5036508  0.6657763  0.8521096 ],[1.2175561  1.028942   0.71692324 0.69910866],[ 22.374924  46.410397  91.993935 147.9536  ],[ 11.047253  34.61733   75.298485 132.64632 ],[7.7897015 7.675598  7.403802  7.1208797],[1.0725865 1.1803671 1.3761415 1.543602 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03812907 0.04086766 0.04412733 0.04790977],[0.01542746 0.01727276 0.01958184 0.02246514],[8.219785 8.688463 9.243821 9.805037],[3.0189602 3.196366  3.4737487 3.7377462],[8.237172 8.235861 8.234614 8.233875],[0.5149109 0.5159925 0.516946  0.5183565],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09007201 0.13577494 0.1923619  0.23309004],[0.07114281 0.12765798 0.2431527  0.18888323],[15.005271 21.840416 31.334736 42.637417],[ 4.7313185  8.170636  14.260511  23.617493 ],[8.083404  8.052716  8.0088415 7.960296 ],[0.64386445 0.7003708  0.76311105 0.82899344],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.22580023 0.5006769  0.6135054  0.78076684],[0.29431033 1.6994025  0.65809745 0.5058353 ],[ 31.19998   57.405426 102.71206  158.6843  ],[ 13.133065  39.57077   78.91144  133.58806 ],[7.906744  7.744178  7.3897166 6.947619 ],[1.0774684 1.2185796 1.4466101 1.572651 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02627443 0.0276546  0.02919064 0.03087954],[0.00833565 0.00890686 0.00971529 0.01072819],[6.080743  6.3492374 6.688922  7.0432954],[2.0451899 2.0843947 2.2523365 2.4218807],[8.184575 8.184421 8.184283 8.184575],[0.35685942 0.35781065 0.35898873 0.36033633],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06728887 0.10173568 0.14276043 0.1941574 ],[0.03775765 0.06163483 0.08265702 0.12392658],[12.60557  19.276031 28.6406   40.45334 ],[ 4.212434  7.191719 12.354964 21.281778],[8.102566 8.072103 8.031466 7.985862],[0.64529896 0.70730996 0.7707672  0.83535177],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.15129596 0.25495985 0.42498618 0.59565836],[0.1106502  0.18446875 0.28667378 0.39500195],[ 25.290411  48.510254  90.73515  145.37729 ],[  9.514973  33.22366   67.3111   119.66607 ],[7.8836513 7.7845283 7.556937  7.2062035],[1.0225143 1.1235504 1.3273067 1.5931991],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.0414717  0.04586855 0.05181483 0.05819616],[0.02372981 0.02503122 0.03081558 0.03527032],[4.92657   5.670041  6.3618746 7.219701 ],[0.8233338 1.033489  1.3467189 1.752856 ],[8.303617 8.301708 8.29945  8.29709 ],[0.13233687 0.1351469  0.13842231 0.14210835],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.10302632 0.20267111 0.34439862 0.45665634],[0.07217267 0.15811597 0.29732847 0.30198464],[11.502819 24.135181 45.139786 73.16595 ],[ 3.5673213 12.548944  29.733313  52.174953 ],[8.1641245 8.082234  7.9580073 7.7846856],[0.4536914  0.52323747 0.6388471  0.80546165],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.35312322 0.7493483  0.8819915  0.9791232 ],[0.30327523 0.6414604  0.5839089  0.51676744],[ 56.168907 136.34421  189.52437  217.46722 ],[ 41.182465 102.353455 119.811646 124.60805 ],[7.988101  7.3302784 6.6497407 6.294961 ],[0.7307766 1.1755847 1.5580689 1.5313361],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03422234 0.03726202 0.04094066 0.04501174],[0.01010013 0.01111949 0.0131047  0.01555377],[7.0975356 7.6773167 8.34733   9.068435 ],[1.3457398 1.6489029 2.000556  2.4960816],[8.256711 8.25314  8.249048 8.245142],[0.20139776 0.20356473 0.20606513 0.2088162 ],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08295884 0.1484649  0.24460195 0.3589295 ],[0.02903013 0.06356336 0.12155496 0.19271263],[17.027037 31.571604 54.669224 84.25621 ],[ 4.557239 15.891306 35.76055  62.292   ],[8.147735  8.073792  7.947371  7.7605457],[0.4217989  0.4702164  0.5311912  0.62175983],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.2656139  0.4917417  0.68016875 0.7811525 ],[0.15283832 0.2545609  0.26176736 0.25774354],[ 53.804684 115.682106 169.70908  210.32231 ],[ 32.98016  83.4649  108.74237 129.8156 ],[7.9248047 7.4847507 6.993533  6.5690465],[0.6685104 0.8576108 1.0417188 1.3132337],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,0,[0.03499632 0.03613491 0.03765975 0.03979382],[0.00534831 0.00632465 0.00777612 0.00957008],[ 9.257426  9.46915   9.789836 10.257464],[1.2560042 1.3604766 1.6085159 1.928267 ],[8.274062 8.272772 8.271271 8.269434],[0.12810999 0.1296792  0.13160852 0.13389942],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,vanilla,0,[0.08675449 0.1341432  0.1998981  0.28088558],[0.02705042 0.05249621 0.08836162 0.12587447],[21.517292 33.71381  51.43793  74.44466 ],[ 4.713536 11.494639 22.261396 35.88359 ],[8.149634  8.077877  7.9743414 7.8388004],[0.35788873 0.40594834 0.46772957 0.54181415],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,vanilla,0,[0.23288466 0.42472607 0.5842409  0.6784788 ],[0.13002364 0.24201731 0.24922858 0.22891295],[ 56.14001 109.19204 163.24377 202.64908],[26.860003 60.45149  78.40066  98.5098  ],[7.934446  7.544327  7.152145  6.8633103],[0.66476834 1.0134736  1.222141   1.2781527 ],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,vanilla,0,[0.00938138 0.01103291 0.01231269 0.01349199],[0.00200102 0.00271997 0.00375639 0.00453186],[2.7305167 3.2161736 3.5884945 3.926546 ],[0.5884646  0.81266016 1.0946537  1.2861788 ],[8.302463 8.300385 8.298523 8.296866],[0.16931011 0.16977271 0.17038369 0.17111215],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DDK8,D,3e-08,10,False,False,TDD,vanilla,0,[0.0204199  0.03152948 0.04561363 0.05924569],[0.00577081 0.01011306 0.01581867 0.02306529],[ 5.9965916  9.296516  13.502691  17.588743 ],[1.8113134 3.1661851 4.848859  7.0606775],[8.290332 8.277336 8.261101 8.248669],[0.22201163 0.23212145 0.2426706  0.25465038],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DDK8,D,3e-08,30,False,False,TDD,vanilla,0,[0.0427205  0.07787504 0.12256102 0.16923122],[0.02215812 0.0528836  0.0891761  0.11318021],[11.863396 21.365606 33.264675 46.8898  ],[ 5.003583 13.848721 21.15955  30.935444],[8.228662  8.177181  8.119552  8.0675335],[0.32812998 0.3549975  0.39169037 0.4367984 ],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
DDK8,D,1e-07,1,False,False,TDD,vanilla,0,[0.01086534 0.01248528 0.01397133 0.01514328],[0.00207874 0.00274982 0.00357495 0.00444717],[3.2275958 3.7154639 4.1605988 4.5108066],[0.64270496 0.86098015 1.1156663  1.3861798 ],[8.294504 8.292612 8.290888 8.289548],[0.04608824 0.04713368 0.04831925 0.04979436],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
DDK8,D,1e-07,10,False,False,TDD,vanilla,0,[0.02239307 0.03313347 0.04587025 0.05638718],[0.00529527 0.00910247 0.01401264 0.01885655],[ 6.5779467  9.7509365 13.492836  16.577425 ],[1.4792662 2.5886192 3.93665   5.1249976],[8.273424 8.260584 8.245323 8.233184],[0.14692241 0.1665566  0.18760805 0.20711528],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
DDK8,D,1e-07,30,False,False,TDD,vanilla,0,[0.0419392 0.0682438 0.106912  0.1451475],[0.0166833  0.03503307 0.06134184 0.08353921],[12.230883 19.89707  31.23323  42.268234],[ 4.4502425  9.58718   16.130018  20.646585 ],[8.257154 8.2337   8.192996 8.158557],[0.2997279  0.3380234  0.38274363 0.4289442 ],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
DDK8,D,3e-07,1,False,False,TDD,vanilla,0,[0.01387089 0.01546071 0.01688889 0.01828168],[0.00335798 0.00400194 0.00493922 0.00587603],[4.09549   4.5688763 4.9928756 5.406987 ],[0.9898006 1.1808234 1.4575781 1.7330025],[8.287246  8.285308  8.283476  8.2818985],[0.02253188 0.02410202 0.02595517 0.02789258],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
DDK8,D,3e-07,10,False,False,TDD,vanilla,0,[0.02892364 0.03931939 0.05087339 0.06047929],[0.00827995 0.01235967 0.01620539 0.01918425],[ 8.471857 11.527356 14.962754 17.807991],[2.3507926 3.5399704 4.7033076 5.550923 ],[8.25712  8.244752 8.230288 8.219919],[0.13850087 0.15851542 0.17811999 0.19818735],[8.291802 8.291453 8.291422 8.291797],[0.13622427 0.15536554 0.17447104 0.193445  ]
DDK8,D,3e-07,30,False,False,TDD,vanilla,0,[0.04488487 0.06372093 0.09325535 0.12145019],[0.01522248 0.02572619 0.03890778 0.05159868],[13.181277 18.6062   27.317787 35.82393 ],[ 3.8041496  6.580897  10.672292  15.25557  ],[8.262078 8.236012 8.194686 8.165443],[0.26848525 0.30198148 0.33742052 0.36851534],[8.314291 8.305841 8.296564 8.287483],[0.25759736 0.28634158 0.31637365 0.34177953]
DDK8,A,3e-08,1,False,False,TDD,vanilla,5,[0.01316108 0.01511806 0.01699339 0.019238  ],[0.00954981 0.01093075 0.01366504 0.01440995],[2.3474696 2.6907177 2.9367435 3.3848636],[0.61290014 0.7836215  0.9835213  1.2930384 ],[8.325241 8.322788 8.320503 8.318077],[0.19013922 0.1947301  0.19966947 0.20500588],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,5,[0.04551226 0.09154282 0.13841546 0.21053132],[0.06334237 0.12138066 0.16067666 0.32237497],[ 5.28825  10.258662 17.937548 28.46637 ],[ 1.6100047  4.6426578 10.103324  19.409533 ],[8.184354 8.16119  8.128182 8.09089 ],[0.55755925 0.62576854 0.6955113  0.7678836 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,5,[0.24890089 0.3833505  0.5383731  0.74613154],[0.6480084  0.6102297  0.49591643 0.56972885],[ 16.43154  38.80162  82.51389 138.6214 ],[  9.834786  34.524338  78.01098  134.31114 ],[7.8365893 7.73934   7.5168667 7.2471504],[1.0343612 1.1389999 1.2900558 1.4654709],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,5,[0.02190096 0.02356917 0.02546082 0.02766422],[0.00655943 0.00777402 0.00942146 0.01071209],[5.190018  5.4638233 5.768955  6.1473045],[1.8469841 1.940717  2.0972915 2.2556434],[8.250052 8.249574 8.249413 8.248962],[0.5154524  0.51616395 0.5168673  0.51793593],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,5,[0.05083939 0.08618777 0.14493324 0.16513272],[0.03159088 0.07798637 0.25737587 0.12316468],[ 9.110501 13.935761 21.119837 30.743547],[ 2.868447  5.502268 10.573267 19.324814],[8.112456 8.092151 8.062063 8.026674],[0.6343394  0.68619657 0.7434228  0.80263335],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,5,[0.15471621 0.38911217 0.5312891  0.7035335 ],[0.20133147 1.3125201  0.6273246  0.47326636],[ 20.998466  44.994457  88.45297  145.9243  ],[  9.945015  36.53929   77.66988  132.56856 ],[7.970613  7.834154  7.5220494 7.1162586],[1.036785  1.1554796 1.3852665 1.504946 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,5,[0.0135514  0.01448014 0.01518639 0.01605027],[0.00476776 0.00508835 0.00543399 0.00584355],[3.228838  3.4172592 3.571263  3.7369144],[1.2782897 1.3055862 1.3594024 1.3687084],[8.19908  8.199483 8.2001   8.200524],[0.35492292 0.35606065 0.35733074 0.35881147],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,5,[0.03699165 0.06071565 0.0908465  0.13352042],[0.02163228 0.03892154 0.05905958 0.09650634],[ 6.8988166 11.225873  17.482048  26.578041 ],[ 2.516404  4.509758  8.084989 14.972398],[8.135094 8.115803 8.089211 8.05625 ],[0.6318537  0.68831867 0.74595124 0.804164  ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,5,[0.09462965 0.188973   0.35007164 0.5282967 ],[0.0753803  0.15416913 0.26458517 0.37208113],[ 15.365552  35.2936    73.4569   128.31232 ],[  6.6017284  28.738417   63.23345   115.1544   ],[7.949838  7.871878  7.6784816 7.355747 ],[0.97211426 1.0682027  1.2670789  1.5229805 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,5,[0.02061672 0.02441185 0.02827808 0.03318932],[0.01109788 0.01362959 0.01711155 0.02057307],[2.6881568 3.0854678 3.4560483 4.0745096],[0.48734838 0.58560514 0.7382523  0.9901155 ],[8.312582 8.31172  8.310941 8.309663],[0.1318296  0.13437976 0.1374109  0.14075217],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,5,[0.05778954 0.13857485 0.2578836  0.37469035],[0.0417501  0.12110659 0.24571095 0.29355547],[ 6.849081 16.420984 34.496975 60.41764 ],[ 2.5650256 10.692936  27.512396  50.486286 ],[8.187681  8.126262  8.031307  7.8926864],[0.44445926 0.5038882  0.60053533 0.7356962 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,5,[0.3172056  0.73041606 0.8457413  0.93992305],[0.312502   0.6651073  0.53585213 0.49260724],[ 50.13897 130.19296 184.04523 211.73921],[ 42.18182 104.04096 122.75612 124.64229],[8.019014  7.3855457 6.7242193 6.404486 ],[0.72042084 1.1607666  1.5479332  1.5213608 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,5,[0.01915841 0.02100426 0.0229666  0.02546858],[0.00513507 0.00606557 0.00748282 0.00889076],[4.2777476 4.5896516 4.917987  5.3618774],[0.7719097  0.88766426 1.050889   1.3112504 ],[8.270141 8.267745 8.265167 8.262294],[0.20129654 0.20344602 0.20588195 0.20846818],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,5,[0.04943993 0.09775539 0.17529427 0.27827904],[0.01774037 0.04861975 0.10226982 0.17338647],[10.268268 20.837069 39.851112 67.0921  ],[ 3.1855881 13.059582  32.148678  59.371933 ],[8.183481  8.133115  8.0397415 7.8909144],[0.41367382 0.45593444 0.5030078  0.5741227 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,5,[0.21161719 0.44424382 0.6364777  0.7449024 ],[0.14376584 0.26177406 0.2761441  0.2553087 ],[ 43.49588 105.6734  159.70265 202.51389],[ 32.254677  84.916504 111.38976  131.83017 ],[7.993206  7.577959  7.127313  6.6966033],[0.6390743  0.8077265  0.97191244 1.2682319 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,5,[0.01963441 0.02092411 0.02227099 0.02357609],[0.00280142 0.0033273  0.00412236 0.00523348],[5.376318  5.7014866 6.0504622 6.346781 ],[0.74341923 0.8231276  0.9727514  1.1620344 ],[8.292405 8.291195 8.289913 8.288413],[0.12805799 0.12937592 0.13100524 0.13296625],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,vanilla,5,[0.0487792  0.08389554 0.13697493 0.20911865],[0.01591854 0.03789473 0.07262181 0.11273386],[12.235568 21.047876 35.05727  55.13388 ],[ 2.9579964  8.437843  18.521057  32.009285 ],[8.199596 8.147994 8.07023  7.963884],[0.34770238 0.39095473 0.4439338  0.50858504],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,vanilla,5,[0.17084734 0.36386386 0.52089125 0.62665313],[0.11735403 0.24391387 0.26116174 0.23903926],[ 41.04743  92.36083 144.38911 186.05424],[26.095575 60.517067 79.433556 97.14472 ],[8.035747  7.6866593 7.3538375 7.0898247],[0.62000424 0.9552173  1.1596117  1.208914  ],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,vanilla,5,[0.00430187 0.00508232 0.00569815 0.00653292],[0.00104811 0.00131864 0.00168286 0.00196183],[1.245913  1.4762744 1.655957  1.8986075],[0.29231256 0.37154645 0.4719104  0.5440783 ],[8.309212  8.3080435 8.307099  8.305959 ],[0.16915841 0.16954376 0.16998701 0.17051995],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DDK8,D,3e-08,10,False,False,TDD,vanilla,5,[0.00950203 0.01578747 0.02384261 0.03396915],[0.00320736 0.00617742 0.00998737 0.01696451],[ 2.7856226  4.6521783  7.0403857 10.073146 ],[0.9891018 1.9309486 3.0502748 5.1366963],[8.304734 8.29828  8.290398 8.282819],[0.22147737 0.23110098 0.24091895 0.2516851 ],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DDK8,D,3e-08,30,False,False,TDD,vanilla,5,[0.02483681 0.05533509 0.09254824 0.13545637],[0.01624295 0.05098953 0.08536383 0.11228065],[ 6.9019303 15.047534  25.034767  37.5775   ],[ 4.1474876 13.769298  21.021338  31.56925  ],[8.252229 8.207739 8.161679 8.115503],[0.3201385  0.34751058 0.3803426  0.42418122],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
DDK8,D,1e-07,1,False,False,TDD,vanilla,5,[0.0050734  0.00593713 0.00657938 0.00742591],[0.00101674 0.00119621 0.00145831 0.00163697],[1.5058894 1.7642426 1.9575537 2.2089245],[0.30575532 0.3643195  0.4476431  0.4987836 ],[8.30212  8.30115  8.300462 8.299586],[0.04606388 0.04719313 0.0484344  0.04985408],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
DDK8,D,1e-07,10,False,False,TDD,vanilla,5,[0.01089105 0.01678596 0.02405366 0.03187647],[0.00266861 0.00486027 0.00829007 0.01244118],[3.2058222 4.934367  7.0574074 9.334778 ],[0.78438836 1.3837667  2.287977   3.3821893 ],[8.28876  8.282214 8.274511 8.26645 ],[0.14518397 0.16437022 0.1837114  0.2025704 ],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
DDK8,D,1e-07,30,False,False,TDD,vanilla,5,[0.02508133 0.04757722 0.07810666 0.11194238],[0.01127798 0.02998714 0.05175047 0.0774968 ],[ 7.327868 13.888137 22.782661 32.442745],[ 3.1588686  8.806031  14.210541  19.821001 ],[8.279348 8.261304 8.233282 8.206423],[0.29493383 0.32992864 0.36646813 0.40638414],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
DDK8,D,3e-07,1,False,False,TDD,vanilla,5,[0.00736724 0.00823557 0.00888116 0.00988378],[0.00227859 0.00257134 0.00285724 0.00311617],[2.174073  2.4330149 2.6248455 2.9217007],[0.6687464  0.75573176 0.8411939  0.916764  ],[8.295429 8.294369 8.293526 8.292411],[0.02203993 0.02356708 0.02524957 0.02700367],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
DDK8,D,3e-07,10,False,False,TDD,vanilla,5,[0.01636058 0.02274099 0.02968105 0.03651967],[0.00536032 0.00868956 0.01081417 0.01338485],[ 4.7942753  6.668675   8.716923  10.74385  ],[1.5441954 2.5053144 3.1091466 3.8865461],[8.272788 8.265539 8.257693 8.25142 ],[0.13722457 0.15675133 0.17626081 0.1956156 ],[8.291802 8.291453 8.291422 8.291797],[0.13622427 0.15536554 0.17447104 0.193445  ]
DDK8,D,3e-07,30,False,False,TDD,vanilla,5,[0.02792645 0.04403787 0.06644238 0.08893963],[0.01113246 0.02208014 0.0351844  0.0476785 ],[ 8.179582 12.805177 19.417736 26.082518],[ 2.8960037  5.7391667  9.846221  13.357777 ],[8.284405 8.262367 8.233335 8.209056],[0.26405427 0.29584548 0.32972872 0.35842693],[8.314291 8.305841 8.296564 8.287483],[0.25759736 0.28634158 0.31637365 0.34177953]
DDK8,A,3e-08,1,False,False,TDD,vanilla,10,[0.00734151 0.00845242 0.0096056  0.01151907],[0.00533086 0.00669328 0.00810173 0.01001755],[1.3999585 1.5517768 1.6999034 2.0498452],[0.36937714 0.41864964 0.51162016 0.7594871 ],[8.328345 8.326542 8.324849 8.322711],[0.19010282 0.1946494  0.19956204 0.20483933],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,10,[0.02912569 0.07074016 0.1242561  0.20066136],[0.0359324  0.10575527 0.18927933 0.36482513],[ 3.4487576  7.657525  14.919329  25.582314 ],[ 1.2985216  4.24421   10.204441  20.261051 ],[8.191444 8.1727   8.144308 8.110113],[0.5537325  0.6188346  0.6864185  0.75605935],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,10,[0.23195745 0.3354217  0.5096708  0.7252481 ],[0.6694531  0.47261462 0.5132707  0.5816107 ],[ 14.056149  35.842194  78.96289  135.47552 ],[  9.046913  34.024345  77.88602  134.61234 ],[7.8490796 7.7606316 7.5502424 7.2798133],[1.0264298 1.1173621 1.2618023 1.4582026],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,10,[0.01504059 0.01602458 0.01706167 0.01860339],[0.00308169 0.00379512 0.00463489 0.00570267],[3.9387672 4.0954876 4.2687774 4.5435367],[1.3935857 1.4503702 1.5323192 1.6456169],[8.255358  8.255509  8.255752  8.2556305],[0.51540893 0.5159609  0.5165882  0.51751465],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,10,[0.03433006 0.06270391 0.10839196 0.13804416],[0.0200363  0.05696639 0.18245897 0.11788995],[ 6.5156574 10.256874  16.18268   24.907713 ],[ 2.0802124  4.257643   8.528354  16.883745 ],[8.125242 8.109714 8.085437 8.054459],[0.6300566  0.68007773 0.73528516 0.7921445 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,10,[0.12110686 0.38207662 0.4922242  0.6774194 ],[0.13291866 1.5049124  0.61203706 0.47436675],[ 16.679604  39.445736  82.01816  140.80405 ],[  8.657882  34.465775  75.8261   130.3545  ],[7.99534   7.8693786 7.572883  7.162561 ],[1.022046  1.1334099 1.3635712 1.5063546],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,10,[0.00843832 0.0091505  0.00965417 0.01020986],[0.00356595 0.00379105 0.00404481 0.00420466],[2.0880163 2.2510076 2.3600247 2.4610343],[1.015162  1.055117  1.1062374 1.0937414],[8.204982 8.205683 8.206472 8.207091],[0.3541687  0.35534307 0.35665408 0.3581051 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,10,[0.02339366 0.0426078  0.06820426 0.10512914],[0.01300323 0.02762723 0.04672465 0.07996152],[ 4.526968  7.927749 12.997062 20.653936],[ 1.903665   3.5871484  6.685768  12.967809 ],[8.149134 8.134571 8.113709 8.087572],[0.625865  0.6797529 0.7331824 0.7864913],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
